0,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.002,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.004,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.006,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.008,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.01,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.012,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.014,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.016,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.018,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.02,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.022,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.024,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.026,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.028,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.03,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.032,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.034,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.036,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.038,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.04,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.042,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.044,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.046,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.048,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.05,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.052,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.054,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.056,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.058,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.06,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.062,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.064,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.066,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.068,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.07,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.072,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.074,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.076,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.078,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.08,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.082,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.084,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.086,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.088,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.09,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.092,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.094,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.096,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.098,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.1,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.102,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.104,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.106,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.108,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.11,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.112,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.114,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.116,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.118,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.12,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.122,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.124,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.126,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.128,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.13,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.132,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.134,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.136,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.138,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.14,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.142,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.144,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.146,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.148,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.15,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.152,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.154,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.156,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.158,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.16,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.162,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.164,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.166,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.168,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.17,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.172,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.174,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.176,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.178,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.18,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.182,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.184,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.186,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.188,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.19,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.192,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.194,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.196,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.198,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.2,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.202,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.204,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.206,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.208,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.21,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.212,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.214,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.216,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.218,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.22,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.222,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.224,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.226,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.228,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.23,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.232,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.234,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.236,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.238,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.24,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.242,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.244,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.246,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.248,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.25,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.252,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.254,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.256,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.258,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.26,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.262,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.264,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.266,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.268,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.27,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.272,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.274,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.276,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.278,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.28,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.282,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.284,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.286,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.288,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.29,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.292,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.294,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.296,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.298,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.3,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.302,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.304,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.306,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.308,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.31,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.312,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.314,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.316,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.318,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.32,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.322,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.324,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.326,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.328,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.33,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.332,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.334,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.336,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.338,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.34,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.342,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.344,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.346,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.348,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.35,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.352,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.354,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.356,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.358,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.36,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.362,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.364,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.366,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.368,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.37,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.372,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.374,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.376,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.378,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.38,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.382,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.384,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.386,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.388,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.39,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.392,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.394,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.396,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.398,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.4,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.402,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.404,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.406,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.408,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.41,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.412,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.414,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.416,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.418,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.42,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.422,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.424,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.426,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.428,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.43,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.432,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.434,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.436,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.438,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.44,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.442,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.444,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.446,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.448,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.45,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.452,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.454,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.456,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.458,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.46,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.462,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.464,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.466,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.468,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.47,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.472,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.474,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.476,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.478,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.48,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.482,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.484,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.486,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.488,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.49,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.492,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.494,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.496,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.498,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.5,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
